State,North,South,East,West
Alabama,35.0,30.25,-84.86666666666666,-88.5
Alaska,71.5,51.25,-130.0,-173.5
Arizona,37.0,31.333333333333332,-109.0,-114.86666666666666
Arkansas,36.5,33.0,-89.61666666666666,-94.61666666666666
California,42.0,32.53333333333333,-114.11666666666666,-124.41666666666667
Colorado,41.0,37.0,-102.0,-109.11666666666666
Connecticut,42.05,41.0,-71.75,-73.75
Delaware,39.85,38.45,-75.0,-75.8
District of Columbia,39.0,38.86666666666667,-76.86666666666666,-77.11666666666666
Florida,31.0,24.5,-80.0,-87.61666666666666
Georgia,35.0,30.35,-80.75,-85.61666666666666
Hawaii,22.233333333333334,18.866666666666667,-154.75,-160.25
Idaho,49.0,42.0,-111.0,-117.25
Illinois,42.5,37.0,-87.5,-91.5
Indiana,41.75,37.86666666666667,-84.75,-88.11666666666666
Iowa,43.5,40.36666666666667,-90.11666666666666,-96.61666666666666
Kansas,40.0,37.0,-94.58333333333333,-102.5
Kentucky,39.15,36.61666666666667,-81.95,-89.58333333333333
Louisiana,33.016666666666666,28.916666666666668,-88.81666666666666,-94.05
Maine,47.46666666666667,42.96666666666667,-66.88333333333334,-71.13333333333334
Maryland,39.75,37.86666666666667,-75.0,-79.5
Massachusetts,42.86666666666667,41.21666666666667,-69.91666666666667,-73.51666666666667
Michigan,48.28333333333333,41.7,-82.36666666666666,-90.5
Minnesota,49.38333333333333,43.5,-89.5,-97.25
Mississippi,35.0,30.0,-88.11666666666666,-91.63333333333334
Missouri,40.61666666666667,36.0,-89.1,-95.78333333333333
Montana,49.0,44.36666666666667,-104.03333333333333,-116.05
Nebraska,43.0,40.0,-95.31666666666666,-104.05
Nevada,42.0,35.0,-114.05,-120.0
New Hampshire,45.35,42.7,-70.58333333333333,-72.56666666666666
New Jersey,41.36666666666667,38.916666666666664,-73.86666666666666,-75.55
New Mexico,37.0,31.333333333333332,-103.0,-109.05
New York,45.016666666666666,40.5,-71.86666666666666,-79.76666666666667
North Carolina,36.6,33.85,-75.41666666666667,-84.33333333333333
North Dakota,49.0,45.93333333333333,-96.55,-104.05
Ohio,42.0,38.4,-80.51666666666667,-84.81666666666666
Oklahoma,37.0,33.61666666666667,-94.43333333333334,-103.0
Oregon,46.266666666666666,42.0,-116.45,-124.58333333333333
Pennsylvania,42.266666666666666,39.71666666666667,-74.68333333333334,-80.51666666666667
Puerto Rico,18.533333333333335,17.916666666666668,-65.21666666666667,-67.95
Rhode Island,42.016666666666666,41.13333333333333,-71.11666666666666,-71.91666666666667
South Carolina,35.21666666666667,32.0,-78.51666666666667,-83.36666666666666
South Dakota,45.93333333333333,42.483333333333334,-96.43333333333334,-104.05
Tennessee,36.68333333333333,34.96666666666667,-81.63333333333334,-90.31666666666666
Texas,36.5,25.833333333333332,-93.5,-105.65
Utah,42.0,37.0,-109.0,-114.05
Vermont,45.0,42.71666666666667,-71.46666666666667,-73.6
U. S. Virgin Islands,18.416666666666668,17.666666666666668,-64.55,-64.8
Virginia,39.46666666666667,36.53333333333333,-75.25,-83.68333333333334
Washington,49.0,45.53333333333333,-116.91666666666667,-124.76666666666667
West Virginia,40.63333333333333,37.2,-77.73333333333333,-82.65
Wisconsin,47.11666666666667,42.5,-86.75,-92.9
Wyoming,45.0,41.0,-104.0,-111.1
